,Date,Open,High,Low,Close,EMA10
0,2013-01-01,5958.0,6017.4502,5958.0,6007.5,6007.5
1,2013-01-02,6031.0,6049.8999,6025.5498,6033.9502,6012.309127272727
2,2013-01-03,6058.1499,6058.1499,6026.6001,6037.5498,6016.898340495867
3,2013-01-04,6030.6001,6052.5,6012.5,6047.5,6022.462278587527
4,2013-01-07,6052.5,6059.0,6013.6499,6016.0498,6021.296373389794
5,2013-01-08,6015.0498,6050.3999,5993.0,6041.7002,6025.006160046194
6,2013-01-09,6040.0,6048.6001,5981.3501,6001.0,6020.641403674158
7,2013-01-10,6018.0,6034.0,5983.75,5997.0,6016.342966642493
8,2013-01-11,6022.2002,6038.0,5969.1499,5973.0498,6008.471481798402
9,2013-01-14,5988.0,6067.25,5985.1001,6064.0,6018.567576016874
10,2013-01-15,6054.7998,6096.0,6036.5498,6083.1499,6030.309816741079
11,2013-01-16,6069.3999,6075.5498,6011.1001,6016.8999,6027.8716500608825
12,2013-01-17,6025.0,6072.4502,6000.1001,6051.0,6032.076804595267
13,2013-01-18,6075.0,6094.5,6060.1499,6072.75,6039.471931032492
14,2013-01-21,6089.8501,6107.5,6070.5,6097.8999,6050.095198117493
15,2013-01-22,6101.2998,6109.0,6054.5,6061.25,6052.1233439143125
16,2013-01-23,6068.0,6079.9502,6028.2002,6078.8501,6056.982754111709
17,2013-01-24,6064.8501,6068.4502,6009.8501,6024.8999,6051.14950790958
18,2013-01-25,6028.25,6082.5498,6014.8999,6078.9502,6056.204179198748
19,2013-01-28,6080.25,6091.2998,6063.5,6078.1499,6060.194310253521
20,2013-01-29,6071.0,6120.0,6041.2002,6049.7998,6058.304399298335
21,2013-01-30,6065.2998,6076.1499,6047.8501,6060.0,6058.612690335001
22,2013-01-31,6055.0,6058.1001,6027.3999,6035.5,6054.410383001365
23,2013-02-01,6066.0,6078.0,6026.6001,6038.0498,6051.43573154657
24,2013-02-04,6050.0,6063.75,5990.2998,5994.3999,6041.065580356284
25,2013-02-05,5969.7998,5993.1001,5964.25,5974.8999,6029.035456655141
26,2013-02-06,5988.25,5993.6499,5966.2002,5971.4502,6018.56540999057
27,2013-02-07,5955.0,5992.4502,5940.1001,5964.0,6008.644426355921
28,2013-02-08,5960.0,5973.4502,5900.0,5913.25,5991.299985200299
29,2013-02-11,5915.0,5937.0,5905.0,5919.7002,5978.281842436607
30,2013-02-12,5911.5498,5947.25,5903.0,5941.8501,5971.657889266314
31,2013-02-13,5948.0,5979.25,5926.6499,5938.75,5965.674636672438
